
------------------------------------------------
Spectral Mapping: meris to modis
------------------------------------------------

Dr. Said Kharbouche
ImagingGroup.MSSL.UCL
2016-06-08 16:12:21









##############################################################################
>>> polynom_2nd_order, SnowNoSnow, non-vegetated_land, sur_refl_b04_1
##############################################################################
sdr_5:sdr_7 13219.9101569
sdr_5:sdr_8 -15245.0250764
sdr_5:sdr_9 1291.27135567
sdr_14:sdr_15 -420.579983714
sdr_8:sdr_13 44838.7496996
sdr_13:sdr_15 278.678090478
sdr_8:sdr_12 -10995.6082734
sdr_11:sdr_14 -2906.36754211
sdr_11:sdr_15 -107.434257756
sdr_1 -89.8000040137
sdr_5:sdr_12 5339.66113546
sdr_5:sdr_13 699.856794374
sdr_5:sdr_10 -4600.76517179
sdr_5:sdr_11 -830.399269582
sdr_5:sdr_14 -623.444740775
sdr_5:sdr_15 538.881904766
Intercept 0.62814677329
sdr_13:sdr_14 189.782889367
sdr_6:sdr_15 -1185.78462157
sdr_6:sdr_14 -6465.62390113
sdr_6:sdr_13 8556.17882967
sdr_6:sdr_12 -9510.01898551
sdr_6:sdr_11 1190.44589965
sdr_6:sdr_10 4957.29981623
sdr_1:sdr_14 -12019.6827721
sdr_1:sdr_15 -2317.00004116
sdr_1:sdr_12 -20479.3568539
sdr_1:sdr_13 16810.3120752
sdr_1:sdr_10 17401.3939591
sdr_1:sdr_11 273.385735902
sdr_7:sdr_10 3755.51647746
sdr_7:sdr_11 -4185.95751763
sdr_7:sdr_12 3211.64498771
